elecnum,distname,distcode,munname1,munname2,muncode,nkneeds
28,北海道１区,101,後志支庁管内,岩内町,NA,NA
28,北海道１区,101,後志支庁管内,喜茂別町,NA,NA
28,北海道１区,101,後志支庁管内,京極村,NA,NA
28,北海道１区,101,後志支庁管内,共和村,NA,NA
28,北海道１区,101,後志支庁管内,倶知安町,NA,NA
28,北海道１区,101,後志支庁管内,古平町,NA,NA
28,北海道１区,101,後志支庁管内,三和村,NA,NA
28,北海道１区,101,後志支庁管内,狩太町,NA,NA
28,北海道１区,101,後志支庁管内,寿都町,NA,NA
28,北海道１区,101,後志支庁管内,真狩村,NA,NA
28,北海道１区,101,後志支庁管内,神恵内村,NA,NA
28,北海道１区,101,後志支庁管内,積丹町,NA,NA
28,北海道１区,101,後志支庁管内,赤井川村,NA,NA
28,北海道１区,101,後志支庁管内,大江村,NA,NA
28,北海道１区,101,後志支庁管内,島牧村,NA,NA
28,北海道１区,101,後志支庁管内,泊村,NA,NA
28,北海道１区,101,後志支庁管内,余市町,NA,NA
28,北海道１区,101,後志支庁管内,蘭越町,NA,NA
28,北海道１区,101,後志支庁管内,留寿都村,NA,NA
28,北海道１区,101,江別市,江別市,NA,NA
28,北海道１区,101,札幌市,札幌市,NA,NA
28,北海道１区,101,小樽市,小樽市,NA,NA
28,北海道１区,101,石狩支庁管内,恵庭町,NA,NA
28,北海道１区,101,石狩支庁管内,厚田村,NA,NA
28,北海道１区,101,石狩支庁管内,広島村,NA,NA
28,北海道１区,101,石狩支庁管内,手稲町,NA,NA
28,北海道１区,101,石狩支庁管内,新篠津村,NA,NA
28,北海道１区,101,石狩支庁管内,石狩町,NA,NA
28,北海道１区,101,石狩支庁管内,千歳町,NA,NA
28,北海道１区,101,石狩支庁管内,当別町,NA,NA
28,北海道１区,101,石狩支庁管内,浜益村,NA,NA
28,北海道１区,101,石狩支庁管内,豊平村,NA,NA
28,北海道２区,102,旭川市,旭川市,NA,NA
28,北海道２区,102,士別市,土別市,NA,NA
28,北海道２区,102,宗谷支庁管内,猿払村,NA,NA
28,北海道２区,102,宗谷支庁管内,歌登村,NA,NA
28,北海道２区,102,宗谷支庁管内,枝幸町,NA,NA
28,北海道２区,102,宗谷支庁管内,中頓別町,NA,NA
28,北海道２区,102,宗谷支庁管内,東利尻村,NA,NA
28,北海道２区,102,宗谷支庁管内,浜頓別町,NA,NA
28,北海道２区,102,宗谷支庁管内,豊富村,NA,NA
28,北海道２区,102,宗谷支庁管内,利尻町,NA,NA
28,北海道２区,102,宗谷支庁管内,礼文村,NA,NA
28,北海道２区,102,上川支庁管内,愛別村,NA,NA
28,北海道２区,102,上川支庁管内,永山町,NA,NA
28,北海道２区,102,上川支庁管内,下川町,NA,NA
28,北海道２区,102,上川支庁管内,剣淵村,NA,NA
28,北海道２区,102,上川支庁管内,山部村,NA,NA
28,北海道２区,102,上川支庁管内,上川町,NA,NA
28,北海道２区,102,上川支庁管内,上富良野町,NA,NA
28,北海道２区,102,上川支庁管内,常盤村,NA,NA
28,北海道２区,102,上川支庁管内,神楽町,NA,NA
28,北海道２区,102,上川支庁管内,占冠村,NA,NA
28,北海道２区,102,上川支庁管内,鷹栖村,NA,NA
28,北海道２区,102,上川支庁管内,中川村,NA,NA
28,北海道２区,102,上川支庁管内,中富良野村,NA,NA
28,北海道２区,102,上川支庁管内,朝日村,NA,NA
28,北海道２区,102,上川支庁管内,東旭川村,NA,NA
28,北海道２区,102,上川支庁管内,東神楽村,NA,NA
28,北海道２区,102,上川支庁管内,東川村,NA,NA
28,北海道２区,102,上川支庁管内,東鷹栖村,NA,NA
28,北海道２区,102,上川支庁管内,当麻村,NA,NA
28,北海道２区,102,上川支庁管内,南富良野村,NA,NA
28,北海道２区,102,上川支庁管内,比布村,NA,NA
28,北海道２区,102,上川支庁管内,美瑛町,NA,NA
28,北海道２区,102,上川支庁管内,美深町,NA,NA
28,北海道２区,102,上川支庁管内,富良野町,NA,NA
28,北海道２区,102,上川支庁管内,風連町,NA,NA
28,北海道２区,102,上川支庁管内,和寒町,NA,NA
28,北海道２区,102,稚内市,稚内市,NA,NA
28,北海道２区,102,名寄市,名寄市,NA,NA
28,北海道２区,102,留萌市,留萌市,NA,NA
28,北海道２区,102,留萌支庁管内,羽幌町,NA,NA
28,北海道２区,102,留萌支庁管内,遠別町,NA,NA
28,北海道２区,102,留萌支庁管内,初山別村,NA,NA
28,北海道２区,102,留萌支庁管内,小平村,NA,NA
28,北海道２区,102,留萌支庁管内,焼尻村,NA,NA
28,北海道２区,102,留萌支庁管内,増毛町,NA,NA
28,北海道２区,102,留萌支庁管内,天塩町,NA,NA
28,北海道２区,102,留萌支庁管内,苫前町,NA,NA
28,北海道２区,102,留萌支庁管内,幌延村,NA,NA
28,北海道３区,103,渡島支庁管内,臼尻村,NA,NA
28,北海道３区,103,渡島支庁管内,亀田村,NA,NA
28,北海道３区,103,渡島支庁管内,戸井村,NA,NA
28,北海道３区,103,渡島支庁管内,砂原村,NA,NA
28,北海道３区,103,渡島支庁管内,鹿部村,NA,NA
28,北海道３区,103,渡島支庁管内,七飯町,NA,NA
28,北海道３区,103,渡島支庁管内,松前町,NA,NA
28,北海道３区,103,渡島支庁管内,上磯町,NA,NA
28,北海道３区,103,渡島支庁管内,尻岸内村,NA,NA
28,北海道３区,103,渡島支庁管内,森町,NA,NA
28,北海道３区,103,渡島支庁管内,銭亀沢村,NA,NA
28,北海道３区,103,渡島支庁管内,大野町,NA,NA
28,北海道３区,103,渡島支庁管内,知内村,NA,NA
28,北海道３区,103,渡島支庁管内,長万部町,NA,NA
28,北海道３区,103,渡島支庁管内,椴法華村,NA,NA
28,北海道３区,103,渡島支庁管内,八雲町,NA,NA
28,北海道３区,103,渡島支庁管内,尾札部村,NA,NA
28,北海道３区,103,渡島支庁管内,福島町,NA,NA
28,北海道３区,103,渡島支庁管内,木古内町,NA,NA
28,北海道３区,103,函館市,函館市,NA,NA
28,北海道３区,103,桧山支庁管内,奥尻村,NA,NA
28,北海道３区,103,桧山支庁管内,乙部村,NA,NA
28,北海道３区,103,桧山支庁管内,熊石村,NA,NA
28,北海道３区,103,桧山支庁管内,厚沢部村,NA,NA
28,北海道３区,103,桧山支庁管内,江差町,NA,NA
28,北海道３区,103,桧山支庁管内,今金町,NA,NA
28,北海道３区,103,桧山支庁管内,上ノ国村,NA,NA
28,北海道３区,103,桧山支庁管内,瀬棚町,NA,NA
28,北海道３区,103,桧山支庁管内,大成村,NA,NA
28,北海道３区,103,桧山支庁管内,北桧山町,NA,NA
28,北海道４区,104,芦別市,芦別市,NA,NA
28,北海道４区,104,岩見沢市,岩見沢市,NA,NA
28,北海道４区,104,空知支庁管内,一巳村,NA,NA
28,北海道４区,104,空知支庁管内,雨竜村,NA,NA
28,北海道４区,104,空知支庁管内,浦臼村,NA,NA
28,北海道４区,104,空知支庁管内,音江村,NA,NA
28,北海道４区,104,空知支庁管内,歌志内町,NA,NA
28,北海道４区,104,空知支庁管内,栗山町,NA,NA
28,北海道４区,104,空知支庁管内,栗沢町,NA,NA
28,北海道４区,104,空知支庁管内,月形町,NA,NA
28,北海道４区,104,空知支庁管内,江部乙町,NA,NA
28,北海道４区,104,空知支庁管内,砂川町,NA,NA
28,北海道４区,104,空知支庁管内,沼田町,NA,NA
28,北海道４区,104,空知支庁管内,上砂川町,NA,NA
28,北海道４区,104,空知支庁管内,新十津川町,NA,NA
28,北海道４区,104,空知支庁管内,深川町,NA,NA
28,北海道４区,104,空知支庁管内,多度志村,NA,NA
28,北海道４区,104,空知支庁管内,滝川町,NA,NA
28,北海道４区,104,空知支庁管内,秩父別村,NA,NA
28,北海道４区,104,空知支庁管内,長沼町,NA,NA
28,北海道４区,104,空知支庁管内,奈井江町,NA,NA
28,北海道４区,104,空知支庁管内,納内村,NA,NA
28,北海道４区,104,空知支庁管内,北村,NA,NA
28,北海道４区,104,空知支庁管内,北竜村,NA,NA
28,北海道４区,104,空知支庁管内,幌加内村,NA,NA
28,北海道４区,104,空知支庁管内,幌向村,NA,NA
